feature,score
EV_raw_Diff,0.2990243230379488
Lb,0.07651874656670983
pHb,0.06390742603395512
EV_B_raw,0.053302734244100466
EV_A_raw,0.0450441127133338
Hb,0.04130493692744557
La,0.03556355756575604
Ha,0.023225817070861566
LotShapeB,0.023007971321197505
LotNumB,0.020516325067013105
Amb,0.0182426756271793
pHa,0.012987028904221988
Block,0.004506033770885331
EV_Diff_Abs,0.004420169491101611
EV_Diff,0.0042956528262835065
P_B_better_A,0.00429484589502259
Entropy_Diff_Abs,0.004092058396997435
Num_Out_Diff,0.004067116444339379
Num_Out_B,0.004060578156593028
Amb_x_SD_Diff,0.00403180856633635
Kurt_A,0.003932309586986032
SD_Diff_Abs,0.0038955591696730597
Psych_EV_Diff_Abs,0.0038911150595171977
Psych_EV2_B,0.003819770910728307
Min_Diff,0.0038192728849558394
Entropy_Diff,0.003784726634940699
Entropy_B,0.003782309437645198
EV_A,0.003777890138269271
Mean_Abs_A,0.0037674537525963546
EV_B,0.0037319369126018478
