domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value,_join_code,indCode,date_grp,dimension_grp,domain_grp,group_grp,indicator_grp,type_grp,value_grp
ecological,climate change,national aggregate,World,co2_footprint,2013,7106227170.0,14397.823223021156,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2014,7192767875.0,14725.823876377588,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2015,7278466615.0,15023.8557729071,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2016,7363461574.0,15309.149487821616,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2017,7448056322.0,15730.45692085964,3.774512842476268,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2018,7530230552.0,16104.24657715806,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2019,7609776788.0,16396.30415131602,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2020,7685261481.0,15722.6243392955,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2021,7753399602.0,16531.046091322263,,co2,,,,,,,,
ecological,climate change,national aggregate,World,co2_footprint,2022,7818196139.0,16933.95738092833,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2000,2376251180.0,2579.4843396945944,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2001,2426787989.0,2652.5588679937755,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2002,2478235048.0,2722.550528921249,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2003,2529741078.0,2836.395690472428,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2004,2580984201.0,2981.3451289937984,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2005,2632156395.0,3126.9936710480224,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2006,2683431644.0,3297.5807525828877,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2007,2734871536.0,3466.408421660846,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2008,2795001471.0,3534.35709920528,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2009,2847446203.0,3675.288745010788,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2010,2901274477.0,3844.870051171807,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2011,2955832944.0,4009.6372800035233,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2012,3010003314.0,4102.676086858366,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2013,3063131123.0,4245.545393317514,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2014,3115821462.0,4445.625619050939,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2015,3168801188.0,4639.820472799655,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2016,3223415240.0,4820.5434787645945,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2017,3279187003.0,5022.645571175445,0.9389036299243086,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2018,3335141885.0,5220.246520639839,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2019,3391515669.0,5351.198468263703,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2020,3448355313.0,5065.89772405755,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2021,3503396785.0,5277.14433390681,,co2,,,,,,,,
ecological,climate change,national aggregate,Bottom-40,co2_footprint,2022,3557061423.0,5519.322704930674,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2000,2763213047.0,7654.13769028717,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2001,2787097352.0,7864.397438154485,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2002,2809777661.0,8129.234599744939,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2003,2831990088.0,8482.923214338003,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2004,2854580918.0,9026.771620453132,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2005,2877350070.0,9530.885164442148,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2006,2900011889.0,10226.591130506778,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2007,2922803830.0,11027.49896082735,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2008,2946612580.0,11563.736297340984,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2009,2971502710.0,11577.176573561052,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2010,2996720802.0,12250.283021241938,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2011,3022345410.0,12853.909105558352,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2012,3049383432.0,13375.86948255519,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2013,3077662819.0,13828.707635689078,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2014,3106304024.0,14298.405942931491,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2015,3133943059.0,14664.32213227094,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2016,3159258795.0,15076.874706966642,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2017,3183138611.0,15659.215592343417,4.25670414835964,co2,,,,,,,,
