"Social.Category","Source","gender.main","gender_norm.main","gender.ext","gender_norm.ext","gender.red","gender_norm.red","age.main","age_norm.main","age.ext","age_norm.ext","age.red","age_norm.red"
"nude person","GPT2",-0.19046597,0.558018442226918,0.010412872,0.600949875168607,-0.09947723,0.589072034002713,-0.060169403,0.411068590213059,-0.0015684976,0.341099243611957,-0.044456,0.517693186767687
"nudist","GPT2",-0.26685116,0.360254318981265,-0.010758263,0.42242784500248,-0.17057012,0.368365487154909,-0.09325126,0.234799029079914,-0.01642418,0.241960782332631,-0.06436451,0.339671064356791
"number theorist","GPT2",-0.20157748,0.529250325880211,-0.006442175,0.458822530130871,-0.104237534,0.574293759300618,-0.06305038,0.395717923791139,0.007776559,0.403462890528118,-0.05402023,0.432169733539597
"numerologist","GPT2",-0.23805861,0.434799311364692,-0.011754299,0.414028939188571,-0.13583525,0.476199241175985,-0.07614924,0.325923465047649,-0.0067394366,0.306591307724121,-0.055767164,0.416548629881324
"nurse's aide","GPT2",-0.18885583,0.56218715510703,0.012461629,0.618225673511825,-0.09458469,0.604260832892655,-0.06782025,0.370302697204489,-0.0057670143,0.313080706725792,-0.051882938,0.451281422865007
"nurse-midwife","GPT2",-0.24389555,0.41968725467494,-0.011022719,0.420197864323144,-0.1292754,0.49656417276534,-0.066399805,0.377871232935834,0.0058625983,0.390690194287176,-0.054223783,0.430349560302971
"nurse clinician","GPT2",-0.2368974,0.437805727628815,-0.0028109378,0.489442326233383,-0.13493861,0.478982843279734,-0.075132675,0.33134001304897,-0.007065013,0.304418594114892,-0.051690325,0.453003770497448
"nurse practitioner","GPT2",-0.2246409,0.469538266050993,0.002229121,0.531941773198917,-0.12479769,0.510465139681805,-0.074625745,0.33404108054422,-0.0064909323,0.308249685525958,-0.054293625,0.429725032346161
"nurse","GPT2",-0.2799285,0.326396594997266,-0.0119339265,0.412514260548353,-0.17164627,0.365024599614815,-0.09872922,0.205610897195271,-0.019254547,0.223072506339615,-0.070981495,0.280501909374271
"nursemaid","GPT2",-0.27719492,0.33347393619419,-0.0077841594,0.44750647269988,-0.16585831,0.382993213141333,-0.09384121,0.231655607367206,-0.015095606,0.250826937283259,-0.06774557,0.309437587456783
"nurser","GPT2",-0.26232532,0.371971888572309,-0.00782349,0.447174824039586,-0.16053371,0.399523334217376,-0.08908203,0.257013874587624,-0.017964624,0.231680726274959,-0.057251543,0.403275296013438
"nutritionist","GPT2",-0.17635982,0.594539793906762,0.009049192,0.589450873244669,-0.089902446,0.618796771785262,-0.065738134,0.381396804574226,-0.0012068828,0.343512457214843,-0.05380242,0.434117393032061
"nymph","GPT2",-0.28826055,0.304824604889119,-0.011583141,0.415472200196504,-0.19323221,0.298011452760553,-0.113660984,0.12605020363373,-0.031004665,0.144658833577567,-0.07903607,0.208477808292988
"nympho","GPT2",-0.2813291,0.322770389040093,-0.012206013,0.410219936962925,-0.1858878,0.320812036190689,-0.1113575,0.138323822788702,-0.028895158,0.158736495741236,-0.07963443,0.203127266380721
"nymphomaniac","GPT2",-0.283488,0.317180915927896,-0.022041366,0.327284979297192,-0.17515323,0.354137307910492,-0.09661612,0.216870096146238,-0.015534098,0.247900688525861,-0.07366313,0.256522698763766
"oarsman","GPT2",-0.2109033,0.505105427951087,0.0033879685,0.541713559565257,-0.1280792,0.500277753284283,-0.08105201,0.29980010938969,-0.014793662,0.25284194155883,-0.055999883,0.414467653941621
"oarswoman","GPT2",-0.21649908,0.490617743550805,0.006802044,0.570502176207701,-0.12719902,0.503010255626001,-0.0815313,0.29724631569076,-0.015042725,0.251179835307715,-0.057038993,0.405175920526193
"obsessive-compulsive","GPT2",-0.22995976,0.455767537922066,-0.012608537,0.406825721127515,-0.12975083,0.495088209225697,-0.075239114,0.330772875726012,-0.0005661228,0.347788528736764,-0.06498384,0.334133008466484
"obstetrician","GPT2",-0.22936784,0.45730004101372,-0.007066383,0.453559001302306,-0.13403231,0.481796434672743,-0.0838185,0.285059462328093,-0.009315729,0.289398582579322,-0.06986284,0.290504935082652
"obstructionist","GPT2",-0.22931314,0.457441661366324,-0.0070933234,0.453331830916709,-0.13584837,0.476158510381462,-0.08137884,0.298058666015905,-0.006287196,0.309609306898096,-0.06688166,0.317162680483433
