date,domain,dimension,type,group,indicator,populationTotal,GNIperCap,value
2022,ecological,ozone depletion,national aggregate,Bottom-40,ozone_footprint,3573523686,5529.041654165806,NA
2000,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2771079507,7692.85018485735,NA
2001,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2795128241,7902.984182376066,NA
2002,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2817982774,8168.321690814426,NA
2003,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2840378133,8528.850379276693,NA
2004,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2863160639,9073.696198278565,NA
2005,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2886128730,9583.909852877112,NA
2006,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2908976565,10285.251123919892,NA
2007,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2931945847,11087.960332042421,NA
2008,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2955942444,11621.247297116653,NA
2009,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,2981024091,11630.725189742872,NA
2010,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3006436061,12302.342501699068,NA
2011,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3031818549,12869.064810164246,NA
2012,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3058599742,13418.780155524284,NA
2013,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3087056858,13858.936902267154,NA
2014,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3115874201,14317.047425141602,NA
2015,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3143671521,14682.35031361053,NA
2016,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3169140069,15090.746063579063,NA
2017,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3193178974,15681.633581815418,NA
2018,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3214995105,16205.265939374285,NA
2019,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3233967613,16672.718839130957,NA
2020,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3249703015,16353.946617090254,NA
2021,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3261155656,17377.02988724466,NA
2022,ecological,ozone depletion,national aggregate,Middle-40,ozone_footprint,3270491108,17872.515797620435,NA
2000,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,925537229,42841.570568868636,NA
2001,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,932036528,43168.38978676752,NA
2002,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,938669229,43387.74839026642,NA
2003,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,945536724,44109.777454907606,NA
2004,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,952625436,45340.414645573714,NA
2005,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,960198702,46315.86108642239,NA
2006,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,968597868,47338.75129945506,NA
2007,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,977999082,48116.33221024317,NA
2008,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,987630430,47807.91933225158,NA
2009,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,996519621,45919.21545509608,NA
2010,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1004298471,47126.41840786978,NA
2011,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1011579211,47946.01860155472,NA
2012,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1018860680,48274.52404996078,NA
2013,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1025840434,48694.91910204364,NA
2014,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1032449176,49381.90255022027,NA
2015,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1038946701,50181.83804288999,NA
2016,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1045436685,50795.6954314738,NA
2017,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1051706513,51746.36506086974,NA
2018,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1057621731,52596.85291749837,NA
2019,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1063158403,53214.91427993404,NA
2020,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1066319975,50530.945000510386,NA
2021,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1067926913,53260.809722408114,NA
2022,ecological,ozone depletion,national aggregate,Top-20,ozone_footprint,1070488119,54508.03426175838,NA
