domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value
ecological,air pollution,national aggregate,Bottom-40,airPollution_footprint,2017,3295224355,5037.397493099811,NA
ecological,air pollution,national aggregate,Bottom-40,airPollution_footprint,2018,3351275676,5234.702054758413,NA
ecological,air pollution,national aggregate,Bottom-40,airPollution_footprint,2019,3407742141,5364.77105881448,NA
ecological,air pollution,national aggregate,Bottom-40,airPollution_footprint,2020,3464675412,5076.04284296782,NA
ecological,air pollution,national aggregate,Bottom-40,airPollution_footprint,2021,3519786549,5287.298647675415,NA
ecological,air pollution,national aggregate,Bottom-40,airPollution_footprint,2022,3573523686,5529.041654165806,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2000,2771079507,7692.85018485735,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2001,2795128241,7902.984182376066,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2002,2817982774,8168.321690814426,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2003,2840378133,8528.850379276693,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2004,2863160639,9073.696198278565,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2005,2886128730,9583.909852877112,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2006,2908976565,10285.251123919892,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2007,2931945847,11087.960332042421,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2008,2955942444,11621.247297116653,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2009,2981024091,11630.725189742872,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2010,3006436061,12302.342501699068,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2011,3031818549,12869.064810164246,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2012,3058599742,13418.780155524284,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2013,3087056858,13858.936902267154,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2014,3115874201,14317.047425141602,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2015,3143671521,14682.35031361053,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2016,3169140069,15090.746063579063,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2017,3193178974,15681.633581815418,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2018,3214995105,16205.265939374285,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2019,3233967613,16672.718839130957,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2020,3249703015,16353.946617090254,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2021,3261155656,17377.02988724466,NA
ecological,air pollution,national aggregate,Middle-40,airPollution_footprint,2022,3270491108,17872.515797620435,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2000,925537229,42841.570568868636,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2001,932036528,43168.38978676752,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2002,938669229,43387.74839026642,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2003,945536724,44109.777454907606,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2004,952625436,45340.414645573714,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2005,960198702,46315.86108642239,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2006,968597868,47338.75129945506,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2007,977999082,48116.33221024317,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2008,987630430,47807.91933225158,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2009,996519621,45919.21545509608,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2010,1004298471,47126.41840786978,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2011,1011579211,47946.01860155472,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2012,1018860680,48274.52404996078,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2013,1025840434,48694.91910204364,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2014,1032449176,49381.90255022027,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2015,1038946701,50181.83804288999,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2016,1045436685,50795.6954314738,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2017,1051706513,51746.36506086974,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2018,1057621731,52596.85291749837,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2019,1063158403,53214.91427993404,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2020,1066319975,50530.945000510386,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2021,1067926913,53260.809722408114,NA
ecological,air pollution,national aggregate,Top-20,airPollution_footprint,2022,1070488119,54508.03426175838,NA
