ymin,lower,middle,upper,ymax,notchupper,notchlower,x,flipped_aes,group,PANEL,ymin_final,ymax_final,xmin,xmax,xid,new_width,weight,colour,fill,alpha,shape,linetype,linewidth
0.130858054348731,0.26711007521157676,0.4663682434002212,0.7336573845478109,0.9352499781687039,0.6354808469038201,0.2972556398966223,2000,FALSE,1,1,0.130858054348731,0.9352499781687039,1999.625,2000.375,1,0.75,1,grey20,white,NA,19,solid,0.5
0.13140673527052316,0.26759493392398753,0.4603006467388966,0.7337942509924674,0.9199997741945565,0.6292871110981442,0.29131418237964896,2001,FALSE,2,1,0.13140673527052316,0.9199997741945565,2000.625,2001.375,2,0.75,1,grey20,white,NA,19,solid,0.5
0.13177027300904032,0.26806349575163124,0.4853922447061678,0.7236150029554236,0.8942391265779273,0.6505191243849455,0.32026536502739017,2002,FALSE,3,1,0.13177027300904032,0.8942391265779273,2001.625,2002.375,3,0.75,1,grey20,white,NA,19,solid,0.5
0.13119044427040993,0.2677031983349878,0.47843051547869464,0.7136016666475973,0.8776877966088784,0.6400583919354155,0.3168026390219738,2003,FALSE,4,1,0.13119044427040993,0.8776877966088784,2002.625,2003.375,4,0.75,1,grey20,white,NA,19,solid,0.5
0.12793241548738987,0.2675192806234623,0.4803158406914517,0.7053392868158634,0.8589351277271666,0.6390154615691246,0.32161621981377886,2004,FALSE,5,1,0.12793241548738987,0.8589351277271666,2003.625,2004.375,5,0.75,1,grey20,white,NA,19,solid,0.5
0.12238760608595656,0.26793031792495114,0.47417953118438316,0.6524118765750209,0.8444443853593782,0.6135451991054802,0.3348138632632861,2005,FALSE,6,1,0.12238760608595656,0.8444443853593782,2004.625,2005.375,6,0.75,1,grey20,white,NA,19,solid,0.5
0.1135521148930233,0.26128068255262166,0.46506345716259556,0.6450963864166774,0.8277960972853488,0.604187768131965,0.3259391461932262,2006,FALSE,7,1,0.1135521148930233,0.8277960972853488,2005.625,2006.375,7,0.75,1,grey20,white,NA,19,solid,0.5
0.10438515336918652,0.26638378737203267,0.45700003160061897,0.5834191331511247,0.8146675259103882,0.5719180080940309,0.342082055107207,2007,FALSE,8,1,0.10438515336918652,0.8146675259103882,2006.625,2007.375,8,0.75,1,grey20,white,NA,19,solid,0.5
0.09775835643125919,0.2608635117189651,0.4473234742951816,0.568174395654115,0.8258861759473042,0.5587165583989232,0.33593039019144,2008,FALSE,9,1,0.09775835643125919,0.8258861759473042,2007.625,2008.375,9,0.75,1,grey20,white,NA,19,solid,0.5
0.092899866117098,0.22583226264344286,0.4364813347316807,0.5549152159354841,0.8216417234868276,0.5557662901610617,0.3171963793022997,2009,FALSE,10,1,0.092899866117098,0.8216417234868276,2008.625,2009.375,10,0.75,1,grey20,white,NA,19,solid,0.5
0.08930578654318677,0.22737615912511117,0.4252656509338171,0.5424530651722262,0.8050876076959149,0.5394737383436317,0.3110575635240025,2010,FALSE,11,1,0.08930578654318677,0.8050876076959149,2009.625,2010.375,11,0.75,1,grey20,white,NA,19,solid,0.5
0.08653259996793405,0.22982000893868842,0.41320567209761094,0.5241403546186423,0.8089666373912203,0.5198899866911934,0.30652135750402854,2011,FALSE,12,1,0.08653259996793405,0.8089666373912203,2010.625,2011.375,12,0.75,1,grey20,white,NA,19,solid,0.5
0.08418606575577803,0.23995397482830239,0.4010390438940674,0.509113727850781,0.7909398855964954,0.49860322587761974,0.3034748619105151,2012,FALSE,13,1,0.08418606575577803,0.7909398855964954,2011.625,2012.375,13,0.75,1,grey20,white,NA,19,solid,0.5
0.08193773029696982,0.23891679667644816,0.3947087230037093,0.5027049728797286,0.7928789563682088,0.49032583269119245,0.29909161331622613,2013,FALSE,14,1,0.08193773029696982,0.7928789563682088,2012.625,2013.375,14,0.75,1,grey20,white,NA,19,solid,0.5
0.08123979505840839,0.22642816287870166,0.39019340465627506,0.49383152915157263,0.7789981894642439,0.487120937086735,0.2932658722258151,2014,FALSE,15,1,0.08123979505840839,0.7789981894642439,2013.625,2014.375,15,0.75,1,grey20,white,NA,19,solid,0.5
0.08101729265583235,0.22568363743423553,0.3809754466615287,0.4868510751432017,0.7677370622662854,0.4756425992899815,0.28630829403307595,2015,FALSE,16,1,0.08101729265583235,0.7677370622662854,2014.625,2015.375,16,0.75,1,grey20,white,NA,19,solid,0.5
0.08029360608424718,0.2381276879981873,0.3742460957910796,0.4770381459803848,0.7714970265148527,0.4608456083058734,0.2876465832762858,2016,FALSE,17,1,0.08029360608424718,0.7714970265148527,2015.625,2016.375,17,0.75,1,grey20,white,NA,19,solid,0.5
0.078941385202416,0.24118247906534274,0.3700568922002557,0.5053002895646367,0.7539862471905622,0.4657934866921465,0.27432029770836497,2017,FALSE,18,1,0.078941385202416,0.7539862471905622,2016.625,2017.375,18,0.75,1,grey20,white,NA,19,solid,0.5
0.07881450221474995,0.22386729831976288,0.3637566348420074,0.48306881469739693,0.7705378272955057,0.4577111864802244,0.26980208320379034,2018,FALSE,19,1,0.07881450221474995,0.7705378272955057,2017.625,2018.375,19,0.75,1,grey20,white,NA,19,solid,0.5
0.0833396586294024,0.22987255053585254,0.3562357993716375,0.4529064857760785,0.7456823478005976,0.43708043978289524,0.2753911589603798,2019,FALSE,20,1,0.0833396586294024,0.7456823478005976,2018.625,2019.375,20,0.75,1,grey20,white,NA,19,solid,0.5
0.08913534724885996,0.23314318021348218,0.3522239636846872,0.4286044137362636,0.6892366521521418,0.4230741377690484,0.28137378960032605,2020,FALSE,21,1,0.08913534724885996,0.7570267463378325,2019.625,2020.375,21,0.75,1,grey20,white,NA,19,solid,0.5
