ymin,lower,middle,upper,ymax,notchupper,notchlower,x,flipped_aes,group,PANEL,ymin_final,ymax_final,xmin,xmax,xid,new_width,weight,colour,fill,alpha,shape,linetype,linewidth
-0.592827933175215,0.27085714285714246,0.7476520196078436,1.1853687816901406,1.6118067978533093,1.1484030501614704,0.3469009890542168,2000,FALSE,1,1,-0.592827933175215,14.13929,1999.625,2000.375,1,0.75,1,grey20,white,NA,19,solid,0.5
-0.6321367536272489,0.2938571428571428,0.8001687689999999,1.2731071197183095,1.631484794275492,1.2292889909115676,0.3710485470884321,2001,FALSE,2,1,-0.6321367536272489,14.95775176470588,2000.625,2001.375,2,0.75,1,grey20,white,NA,19,solid,0.5
-0.31884057971014546,0.3225714285714285,0.7698561690000001,1.3608454577464784,1.6511627906976747,1.2248415070979781,0.3148708309020221,2002,FALSE,3,1,-0.31884057971014546,15.776213529411766,2001.625,2002.375,3,0.75,1,grey20,white,NA,19,solid,0.5
-0.7271575927734282,0.359142857142857,0.7347985294117649,1.4485837957746477,1.670840787119857,1.2122058803352982,0.25739117848823173,2003,FALSE,4,1,-0.7271575927734282,16.594675294117646,2002.625,2003.375,4,0.75,1,grey20,white,NA,19,solid,0.5
-0.3072463768115945,0.3849999999999998,0.6629319411764707,1.536322133802817,1.6905187835420392,1.1674564458721797,0.1584074364807616,2004,FALSE,5,1,-0.3072463768115945,17.413137058823526,2003.625,2004.375,5,0.75,1,grey20,white,NA,19,solid,0.5
-0.6374664306640714,0.41400000000000037,0.818268351,1.6240604718309855,1.710196779964222,1.3485327681235422,0.28800393387645773,2005,FALSE,6,1,-0.6374664306640714,18.231598823529417,2004.625,2005.375,6,0.75,1,grey20,white,NA,19,solid,0.5
-0.2857142857142857,0.4449999999999996,0.8231261078431371,1.6920698760563377,1.7298747763864042,1.369608532757605,0.27664368292866903,2006,FALSE,7,1,-0.2857142857142857,19.050060588235297,2005.625,2006.375,7,0.75,1,grey20,white,NA,19,solid,0.5
-0.6997767857142864,0.46999999999999975,0.8231261078431371,1.749552772808587,1.76007928028169,1.38384296542753,0.2624092502587443,2007,FALSE,8,1,-0.6997767857142864,19.86852235294118,2006.625,2007.375,8,0.75,1,grey20,white,NA,19,solid,0.5
-0.2934472220284643,0.500285714285714,0.8231261078431371,1.7692307692307692,1.8280886845070419,1.3791945239150116,0.2670576917712626,2008,FALSE,9,1,-0.2934472220284643,20.68698411764706,2007.625,2008.375,9,0.75,1,grey20,white,NA,19,solid,0.5
-0.5739408220563571,0.5214285714285714,0.8231261078431371,1.7889087656529519,1.8960980887323942,1.378552602676943,0.2676996130093313,2009,FALSE,10,1,-0.5739408220563571,21.50544588235294,2008.625,2009.375,10,0.75,1,grey20,white,NA,19,solid,0.5
-0.6910422188895,0.5537142857142856,0.8231261078431371,1.8085867620751341,1.964107492957746,1.3730277348543887,0.27322448083188555,2010,FALSE,11,1,-0.6910422188895,22.323907647058824,2009.625,2010.375,11,0.75,1,grey20,white,NA,19,solid,0.5
-0.6724526541573954,0.577491852222918,0.8231261078431371,1.8282647584973168,2.0278288563380276,1.3712312493125884,0.2750209663736858,2011,FALSE,12,1,-0.6724526541573954,23.142369411764708,2010.625,2011.375,12,0.75,1,grey20,white,NA,19,solid,0.5
-0.670209612165179,0.5801428597370071,0.8231261078431371,1.847942754919499,2.0915502197183096,1.3786926998424591,0.267559515843815,2012,FALSE,13,1,-0.670209612165179,23.96083117647059,2011.625,2012.375,13,0.75,1,grey20,white,NA,19,solid,0.5
-0.2857142857142857,0.5827938735128364,0.8231261078431371,1.8676207513416818,2.155271583098591,1.3861541476283534,0.2600980680579209,2013,FALSE,14,1,-0.2857142857142857,24.779292941176475,2012.625,2013.375,14,0.75,1,grey20,white,NA,19,solid,0.5
-0.679893493652359,0.5854448816530993,0.8231261078431371,1.887298747763864,2.2189929464788736,1.3936155978838265,0.2526366178024477,2014,FALSE,15,1,-0.679893493652359,25.597754705882355,2013.625,2014.375,15,0.75,1,grey20,white,NA,19,solid,0.5
-0.6691785539899632,0.5880958891671888,0.8231261078431371,1.9069767441860468,2.2827143098591547,1.4010770484136974,0.24517516727257682,2015,FALSE,16,1,-0.6691785539899632,26.416216470588235,2014.625,2015.375,16,0.75,1,grey20,white,NA,19,solid,0.5
-0.2857142857142857,0.5910406111458983,0.8231261078431371,1.926654740608229,2.3670291338028164,1.4084097894013525,0.2378424262849217,2016,FALSE,17,1,-0.2857142857142857,27.23467823529412,2015.625,2016.375,17,0.75,1,grey20,white,NA,19,solid,0.5
-0.5533196585518942,0.5939853274890421,0.8231261078431371,1.9463327370304113,2.4513439577464786,1.4157425328585864,0.2305096828276877,2017,FALSE,18,1,-0.5533196585518942,28.05314,2016.625,2017.375,18,0.75,1,grey20,white,NA,19,solid,0.5
-0.7371989658900744,0.596930043206011,0.8231261078431371,1.9660107334525945,2.5356587816901404,1.4230752765902193,0.22317693909605496,2018,FALSE,19,1,-0.7371989658900744,28.871601764706092,2017.625,2018.375,19,0.75,1,grey20,white,NA,19,solid,0.5
-0.2857142857142857,0.5998747651847214,0.8581428571428571,2.011925086129032,2.6199736056338025,1.4769218833279456,0.2393638309577686,2019,FALSE,20,1,-0.2857142857142857,29.690063529411994,2018.625,2019.375,20,0.75,1,grey20,white,NA,19,solid,0.5
-0.42569732666017945,0.6028194809016909,0.8919999999999999,2.058207058064516,2.7042884295774647,1.5297699819624242,0.2542300180375756,2020,FALSE,21,1,-0.42569732666017945,30.5085252941179,2019.625,2020.375,21,0.75,1,grey20,white,NA,19,solid,0.5
